trip_headsign,freq
JD. ANTÁRTICA,2
JD. NSA. SRA. DO CARMO,2
SHOP. SP MARKET,2
JD. CELESTE,2
TERM. AMARAL GURGEL,2
CENTER NORTE,2
VL. CONSTANÇA,2
TERM. MERCADO,2
JD. BRASIL,2
PAULISTA,2
GRAJAÚ,2
METRÔ CARANDIRU,2
ELDORADO,2
COHAB JUSCELINO,2
JD. ITAJAÍ,2
JD. MARÍLIA,2
JD. DANFER,2
BURGO PAULISTA,2
JD. FANGANIELO,2
SHOP. PENHA,2
VL. DALILA,2
JD. ELISA MARIA,2
VL. PENTEADO,2
JD. CAMARGO VELHO,2
JD. ROMANO,2
JD. PRIMAVERA,2
JD. GUARANI,2
JD. BELÉM,2
CONJ. ENCOSTA NORTE,2
JD. SÃO CARLOS,2
LGO. DA CONCÓRDIA,2
PQ. MORRO DOCE,2
VL. MARA,2
LIBERDADE,2
PQ. DE TAIPAS,2
VL. ZATT,2
VL. PROGRESSO,2
PQ. BANCÁRIO,2
METRÔ - TRIANON - MASP,2
JD. MABEL,2
HAB. TURÍSTICA,2
CPTM VL. MARA/ITAIM,2
COHAB II,2
VL. UNIÃO,2
UNIÃO DE VL. NOVA,2
CAPELA DA LAGOA,2
STA. MÔNICA,2
BRASILÂNDIA,2
HOSP. SAPOPEMBA,2
JD. SÃO PAULO,2
JD. DAMASCENO,2
VL. MIRANTE,2
COHAB JOSÉ BONIFÁCIO,2
VL. TEREZINHA,2
JAGUARÉ,1
AEROPORTO,1
ORATÓRIO,1
SESC POMPÉIA,1
JD. STA. MARGARIDA,1
PERDIZES,1
JD. ARPOADOR,1
PQ. AMÉRICA,1
ENGENHEIRO GOULART,1
AEROPORTO DE GUARULHOS,1
BRAS,1
CALMON VIANA,1
METRÔ PARAÍSO,1
JD. ARACATI,1
PINHEIROS/VILA IDA,1
BRÁS,1
BROOKLIN NOVO,1
VL. CRUZEIRO,1
JD. VAZ DE LIMA,1
COHAB ADVENTISTA,1
PIRITUBA,1
RIO GRANDE DA SERRA,1
CEM. VL. NOVA CACHOEIRINHA,1
CITY JARAGUÁ,1
VILA MADALENA,1
SHOP. CONTINENTAL,1
VL. DA PAZ,1
JD. NOVO MARILDA,1
JD. VARGINHA,1
PARAÍSO,1
CORINTHIANS - ITAQUERA,1
PALMEIRAS - BARRA FUNDA,1
SÃO PAULO - MORUMBI,1
CAPAO REDONDO,1
JD. MARILDA,1
CID. D'ABRIL,1
JD. UNIVERSAL,1
VL. NATAL,1
PQ. STA. CECÍLIA,1
JD. LÍBANO,1
SHOP. INTERLAGOS (VIA JD. SÃO BERNARDO),1
MORRO DOCE,1
PQ. DA LAPA,1
JD. ELLUS,1
CHÁC. STO. AMARO,1
MANGALOT,1
DIVISA DE EMBU-GUAÇU,1
JD. SÃO BERNARDO,1
JD. DAS PEDRAS,1
JD. CHÁC. DO SOL,1
RECANTO DOS HUMILDES,1
FREGUESIA DO Ó,1
TUCURUVI,1
CANTINHO DO CÉU,1
PQ. STO. ANTONIO,1
JD. SATÉLITE II,1
PENTEADO,1
JD. PROGRESSO,1
JD. REC. CAMPO BELO,1
PARADA DE TAIPAS,1
BALN. SÃO JOSÉ,1
TAIPAS,1
VILA PRUDENTE,1
JD. SÃO NICOLAU,1
JD. ORION,1
OSASCO,1
COHAB EDUCANDÁRIO,1
GRAJAU,1
PQ. DO ENGENHO,1
JD. RINCÃO,1
JD. NARDINI,1
JD. HELGA,1
JD. ROSANA,1
IMIRIM,1
JD. BONFIGLIOLI,1
JD. CAIÇARA,1
JD. MARACÁ,1
PQ. ARARIBA,1
JD. ALMANARA,1
JD. HORIZONTE AZUL,1
ITABERABA,1
JD. ALMEIDA PRADO,1
MESSIÂNICA,1
PQ. FLORESTAL,1
CPTM PERUS,1
CEM. DE PERUS,1
CPTM JARAGUÁ,1
HORTO DO YPÊ,1
PQ. DO POVO,1
REMÉDIOS,1
JD. DONÁRIA,1
METRÔ STA. CECÍLIA,1
CDHU BUTANTÃ,1
PQ. TIETÊ,1
JD. TEREZA,1
SÍTIO BOTUQUARA,1
JD. PERI PERI,1
JD. PAINEIRAS,1
CAMPO BELO,1
JD. TABOÃO,1
PQ. FIGUEIRA GRANDE,1
JD. MARIA LUIZA,1
LGO. DA PÓLVORA,1
HOSP. PARELHEIROS,1
JD. STA. FÉ,1
VL. ANASTÁCIO,1
JUNDIAI,1
PQ. FERNANDA,1
VL. CLARICE,1
AMADOR BUENO,1
JD. VALE DAS VIRTUDES,1
JD. SÃO BENTO,1
JD. COMERCIAL,1
PQ. IPÊ,1
JD. CAPELA,1
JD. NOVO ORIENTE,1
JULIO PRESTES,1
EST. GRAJAÚ,1
AACD-SERVIDOR,1
VL. DALVA,1
CENTRO SESC,1
METRÔ VILA MADALENA,1
JD. PRINCESA,1
JD. STA. BARBARA,1
CDHU MUNCK,1
VOITH,1
CDHU VOITH,1
SÍTIO DOS FRANCOS,1
VL. STA. MARIA,1
BARRAGEM,1
JD. ORIENTAL,1
JD. DAS FONTES,1
JD. ROSA MARIA,1
JD. ORIENTAL/FONTES,1
VL. BRASILÂNDIA,1
CIPÓ DO MEIO,1
JD. DOS FRANCOS,1
JD. EUCALIPTOS,1
MARSILAC,1
TERM. MORUMBI,1
JD. HERPLIN,1
JD. VERA CRUZ,1
JD. MONTE BELO,1
JD. SETE DE SETEMBRO,1
CHABILÂNDIA,1
VL. SANTA MARIA,1
JD. CAMARGO NOVO,1
CID. PEDRO JOSÉ NUNES,1
VL. CISPER,1
PARADA XV DE NOVEMBRO,1
PQ. D. JOÃO NERY,1
JD. KERALUX,1
JD. CAMPOS,1
PQ. GUARANI,1
VL. REGINA,1
VL. JACUI,1
JD. DO CASTELO,1
CONJ. A. E. CARVALHO,1
LIMOEIRO,1
CONJ. ARAUCÁRIA,1
JD. VERÔNIA,1
JD. VERONIA,1
PÇA DO CORREIO,1
PQ. VL. MARIA,1
CHÁC. CRUZ. DO SUL,1
VL. RUI BARBOSA,1
CHÁC. BELA VISTA,1
SHOP. METRÔ ITAQUERA,1
CEM. DA SAUDADE,1
VL. PAULISTA I,1
PQ. SÃO RAFAEL,1
CONJ. CHAPARRAL,1
CID. LIDER,1
VL. STA. ISABEL,1
UNIV. SÃO JUDAS TADEU,1
PQ. NOVA SAVOY,1
PQ. SAVOY CITY,1
VL. ARICANDUVA,1
NOVA AMERICA,1
VL. COSMOPOLITA,1
HOSP. IPIRANGA,1
VL. SANTANA,1
JD. COLORADO,1
JD. WILMA FLOR,1
VL. EMA,1
JD. VL. FORMOSA,1
SÃO MIGUEL PAULISTA,1
JD. DA CONQUISTA,1
